,0
0,-0.7688649895848481
1,-0.7308807949247476
2,-0.6344291125266414
3,-0.6575013528794189
4,-0.6813396238709591
5,-0.5299467895751264
6,-0.5595948318709594
7,-0.8360220506675503
8,-0.5547213201203279
9,-0.7336749194790406
10,-0.46118269757285346
11,-0.44667264215012653
12,-0.40946687870454584
13,-0.3803655978656567
14,-0.447022118843687
15,-0.3582070711612375
16,-0.2860141593474746
17,-0.45674377713674225
18,-0.3133720018554294
19,-0.3405528499007576
20,-0.3352013438945706
21,-0.2792923656924242
22,-0.27991353258333335
23,-0.27587538365189396
24,-0.24566874107702005
25,-0.3585881129867424
26,-0.22485795431881297
27,-0.18899204080972223
28,-0.2340165040364902
29,-0.4407563356334597
30,-0.2247694580171717
31,-0.18678188125290415
32,-0.1723614495561868
33,-0.1794879601974748
34,-0.18764937341098487
35,-0.16910511349431817
36,-0.17882564462676756
37,-0.15333299525871213
38,-0.14866804190214658
39,-0.12870952846527778
40,-0.12804270407234847
41,-0.13728298615454534
42,-0.14170330523459596
43,-0.14371336138409094
44,-0.11925054117550504
45,-0.11333818106287884
46,-0.11811417744595962
47,-0.11166351006931809
48,-0.10867435545227268
49,-0.1112024258359848
50,-0.08952978453169202
51,-0.0946699134199495
52,-0.09086625170568181
53,-0.09807393121830806
54,-0.08011476376502524
55,-0.1099572736814394
56,-0.07389576573813128
57,-0.0975936823555556
58,-0.07029446257537882
59,-0.07382192485151515
60,-0.0733056007556818
61,-0.07588045641906573
62,-0.07791756848838388
63,-0.06647783669772725
64,-0.07154581541792927
65,-0.05908414505732321
66,-0.0658482143381313
67,-0.0524497203794192
68,-0.12550843272209594
69,-0.08874458901616163
70,-0.07557945533876267
71,-0.0463913690893939
72,-0.052489177447474764
73,-0.07521532313257574
74,-0.06814630688219699
75,-0.20369261818661605
76,-0.06161616161351005
77,-0.056476032880429274
78,-0.05474950411994943
79,-0.052627277355808105
80,-0.36997429662260095
81,-0.11215390515707077
82,-0.05541576474570707
83,-0.054947916777904025
84,-0.06595362112866157
85,-0.12136205823181806
86,-0.05046897554015151
87,-0.049417162863131345
88,-0.3485778544222222
89,-0.07909282581111111
90,-0.04375958252436873
91,-0.3596771286468433
92,-0.04769232503623737
93,-0.08895145672449492
94,-0.07125552414646466
95,-0.0717504282238637
96,-0.36767451308749993
97,-0.047523786970075726
98,-0.05709494484368681
99,-0.13534846234936873
